"id","profileName","text","date","title","rating","images","helpful","variant:colour"
"R1KVNKROZNRMAJ","Mick","Ordered these, and they never arrived. Amazon explained that they got lost in the shipment. Received a refund and order them from another source. They are dynamite earbuds, if you can get them.","Reviewed in the United States on 5 July 2023","Never Received Them","2.0 out of 5 stars","","0","Soapstone"
"R3U1VMR4XUEXRU","Chris Woolf","I want to like these ear buds but after 10 days of owning them and maybe 5 uses (~1 hr w/each use) the left ear bud completely died. There’s an LED light that flashes when it’s charging in the case, yeah, the left one didn’t light up at all after 10 days. When I would insert both headphones into my ears I could only hear audio out of my right ear bud. I tried all the troubleshooting recommendations but to no avail.I really loved the deep base sound these earbuds produced as well as the quiet and aware settings you can adjust in case if you wanted to be able to hear surrounding noises.It could just be me, but after using my husband’s open shokz without any problems, these earbuds were quite finicky and my smartwatch always had trouble connecting to them. I even did research on running websites and read tons of reviews before settling with these, despite reading some reviews how they stopped working shortly after receiving. Unfortunately for me, I’ll be another one of those reviews.Seems like BOSE still needs to work some bugs out of their products. I’ll be shopping for another brand altogether. 😕","Reviewed in the United States on 1 July 2023","I want to like these ear buds but…","2.0 out of 5 stars","","0","Triple Black"
"R2VDHV47EKPXGU","Aaron Z.","Sound on these is good, but the noise canceling is terrible.  The ear piece is awkward and there is no opportunity to upgrade to a memory foam type which I have found are much better…returning as a result","Reviewed in the United States on 29 June 2023","Virtually no noise canceling","2.0 out of 5 stars","","0","Soapstone"
"RQ07WMVAC8SJ3","Camilo","Had few Bose headphones in the past and I was really looking forward to this earphones. For being a Bose product I was expecting an absolute magnificent product, but unfortunately ended up being a big massive disappointment. Great earphones to listen music if you are indoors or normally walking outside. The noise cancellation works fine in this calm scenarios. But nothing else. Pairing with iPhone and other devices is quiet slow and most of the time you have to wear both in order to connect automatically with your phone. Or  you will have to go to settings in your phone to be able to connect to them as I mentioned before pairing automatically is not great. The quiet setting is worthless if you are running or riding a bicycle as you can hear the noise of the wind through your ears and you can forget about listening to what you were listening as the only thing you will hear will be a constant howling wind. Case is quiet big and a bit uncomfortable to have it inside your trouser pockets you will ended up keeping inside you bag or backpack but no somewhere as easy access as your pocket. Don’t get me wrong battery is great. One full charge last me around 2 full days. Listening music several hours a day. Perfect pair of earphones if you are studying and need to focus or relaxing in bed and you just want to chill and absorb the great sound. Definitely not recommended to use it as hands free device as the quality of the sound is not great and you always will sound as you are meters away from the microphone when talking to someone.  Also the price…Bose is never cheap. But I have to say this is the first time I actually believe this product it’s not worth the price. If you can get them for less than £100 definitely go for them but more than that you can seriously get better product with some other brands…","Reviewed in the United Kingdom on 28 June 2023","Very Disappointed…","2.0 out of 5 stars","https://m.media-amazon.com/images/I/810pxXmqSXL.jpg
https://m.media-amazon.com/images/I/81A5WN7HIoL.jpg
https://m.media-amazon.com/images/I/81juoObooVL.jpg
https://m.media-amazon.com/images/I/81ma-AFtW9L.jpg","2","Soapstone"
"R25542BHJUUK8A","Millie","I ended up returning this item, because it didn’t do what I had expected it to do.","Reviewed in the United States on 23 June 2023","Noise canceling","2.0 out of 5 stars","","0","Soapstone"
"R6YUJ3ZCHZFL4","Cliente Amazon","OJO! Los productos en Amazon de BOSÉ no son venta autorizada por BOSÉ si hay un defecto I problemas con el equipo, AMAZON en primera instancia se desentiende y te manda a BOSÉ y en voz soy muy claros que ellos no se hacen responsable de los productos vendidos por Amazon de la marca BOSÉ!  Es Amazon quien se debe responsabilizar y te marean. ( a ver cómo termina esta historia) pero ahora mismo no se me responden ( cuando ya este problema desde Bose España ( distribuidora oficial) lo han tratado con Amazon y siguen con el conflicto de mandar a los clientes de Amazon a ellos, sin derecho por compra). La conexión falla y muchas veces no conecta, debe ser algo puntual. Pero es un defecto al final.","Reviewed in Spain on 23 June 2023","El producto me vino defectuosos","2.0 out of 5 stars","","0","Triple Black"
"R10226F7TVB0CL","Steven Venable","If your Quietcomfort case fails Bose will not sell you a new charging case.  You have to buy a new set of Quietcomfort earbuds.  They will ""discount"" the cost to $200.00, which is the same price as the earbuds sell on amazon.  Not very impressed.The Quietcomfort earbuds cannot be charged using another case either according to Bose.  Still not impressed.","Reviewed in the United States on 23 June 2023","$200.00 to replace failed charging case","2.0 out of 5 stars","","0","Soapstone"
"RM83CDCTFPTUL","ALBA","Ear pieces too bulky sound quality not what I expected it’s goes in and out with bass with occasional static","Reviewed in the United States on 22 June 2023","Too bulky","2.0 out of 5 stars","","0","Triple Black"
"RFC6WVZD91C3D","Leyvi","Good quality earbuds but randomly they make a ear piercing screeching sound for no reason at all for like a couple of seconds","Reviewed in Canada on 20 June 2023","Had for about a year","2.0 out of 5 stars","","0","Triple Black"
"R34MY3RLVM9FQ7","Mary Suzanne  Klitz","These earbuds sound amazing and the noise cancelation is excellent. However I have owned 2 pairs of quiet comfort 1 and 1 pair of quiet comfort 2. The first pair I bought was the 1st edition and the connectivity stopped working about 4 months in. The second pair they sent as a warranty replacement and the sound went bad. The 3rd pair was also sent on warranty and was the 2nd edition. They also have audio that went bad. I honestly give up on these and maybe even bluetooth earbuds entirely. Maybe in another 5 to 10 years bluetooth technology in this format will progress enough to not have these sort of issues.Bose was supposed to be top of the line at least that's what has always been advertised. It's kind of sad to have invested in a 300+ dollars pair of earbuds that can't even last a full year. Oh well, they were good while they lasted.","Reviewed in the United States on 20 June 2023","Phenomenal sound quality terrible build quality","2.0 out of 5 stars","","0","Triple Black"
"R3G6Y0HAWU4K21","Cesar Howell","Working out at the gym. Product didn't perform as expected. After numerous attempts product didn't pair with phone. On line support was not effective.","Reviewed in the United States on 17 June 2023","Left ear bud didn't pair","2.0 out of 5 stars","","0","Triple Black"
"R1M58PHPJDQ6Y9","Amazon Customer","These stopped working at high level after a few months of owning.  Now I have problems with them staying connected, and one or the other not working.","Reviewed in the United States on 15 June 2023","Not the best product","2.0 out of 5 stars","","0","Soapstone"
"R3AYET6PA8YAR9","M. G","Received this product brand new. Downloaded the Bose Music app, followed the set up instruction, all set up complete and charger updated for like 10mins. Left side didn't work with music. but i can hear the battery percent on it (both did) and saying that it is connected.All white and blue lights blinking as advised, did a factory reset and trouble shoot, connect and disconnected numerous time from device, still no joy.Got in contact with Bose support, wasn't really much of a help. They recommended to send it back to them and they will re-send a new one which will arrive 3-4weeks which was just pathetic and it was a big no.Got in contact with Amazon support, the lady said i have to send it back, they will give a re-fund which will take 5-7days then i can purchase the item again, even thou i wanted them to just me a new one again.Very disappointed with this device and the support from the relevant people.","Reviewed in the United Kingdom on 12 June 2023","Malfunction Device","2.0 out of 5 stars","","0","Triple Black"
"R3JG8JT46PIE06","Jeton","Ich hatte die Kopfhörer vor 2 Jahren bestellt, da ich meine vorherigen verloren hatte. Ich bin/war sehr begeistert. Sie haben mich gerade am Anfang echt beeindruckt. Mittlerweile ist jedoch der Sprachassistent nicht mehr verständlich, bei Bässen knarzen sie wirklich stark und das ANC ist auch nicht mehr brauchbar. Da die Garantie abgelaufen ist, wird mir lediglich angeboten sie in Zahlung für neue zugeben. Leider sind 195€ jetzt kein wirklich gutes Angebot wenn man sie auch so für 200 bekommt.Sehr sehr schade","Reviewed in Germany on 7 June 2023","Sehr stark angefangen, am ende aber noch stärker nachgelassen","2.0 out of 5 stars","","0","Triple Black"
"R2HIVKY9CVZ3SQ","Elijah powell","Cant get right earbud to charge or play","Reviewed in the United States on 5 June 2023","Getting proper functioning earbuds","2.0 out of 5 stars","","0","Triple Black"
"R2UB00GX3O6WVR","K. Jones","I was disappointed.As far as music quality, it’s what you would expect from earbuds.After reading some reviews, I thought Bose would take earbuds to another level. NOPE.From my experience, for in-ear quality music, head on over to Ultimate Ears….although, you have to pay for quality. Then again, you’re shopping Bose, so you’re not that far off.Besides earbuds, for exercise, I’ve had luck with neckband headphones, or anything that helps press monitors to your ears.Good luck.","Reviewed in the United States on 3 June 2023","Not for quality music","2.0 out of 5 stars","","0","Triple Black"
"R2WSKQ3UM8A1QP","Jeff","The headphones are great for sound quality and remaining in your ear while running or working out. But the Bluetooth is very annoying. On several occasions, the headphones randomly won't connect to my phone. It will remain like that for a day or two and randomly will reconnect. The troubleshooting from Bose is unhelpful. It involves reinstalling the Bose apps and forgetting the device from your iPhone. I have even exchanged one set for another one and still experience this issue. Occasionally the Headphones will connect inside the case and drain the battery.","Reviewed in the United States on 2 June 2023","Bluetooth is not great on Iphone","2.0 out of 5 stars","","0","Triple Black"
"R36Z9LJLUE6B34","Ernst","Musikhören war sehr gut, jedoch funktionierte Noise cancelling nicht immer und auch das Mikrofon beim Telefonieren war für die Hörer mal laut, mal leise. Auch würde ständig das Telefonat unterbrochen.Gerät ging retour ...","Reviewed in Germany on 1 June 2023","Hatte regelmäßige Störungen","2.0 out of 5 stars","","0","Triple Black"
"R1ZUXA3SYZEWQI","harry mizrahi","Was so excited to get these but I literally cannot get the ear buds to stay in! I tried every single size and all of them slipped right out. Never had problems with AirPods or any other earbuds fitting in my ear.Sound is great I can’t lie I feel bad I’m returning but they won’t stay in!","Reviewed in the United States on 31 May 2023","Doesn’t fit in the ears","2.0 out of 5 stars","","0","Soapstone"
"RYO3R3F10CGBP","Amazon Customer","These are just not worth the money. They have a couple of cool features. But the have too many negatives. The main reason I purchased these was for the noise cancelling 'claim'. As I'm sitting here writing this I have both ear buds in on 'quite mode' and the girl that sits across from me at my job(that talks Non Stop) I can STILL hear her. These are more like noise dulling, NOT cancelling. And they Don't have a long range for their Bluetooth connection, I have some $20 ear buds with better range. I'll be returning these and try something else.","Reviewed in the United States on 30 May 2023","NOT NOISE CANCELLING!!!!!!!!!!","2.0 out of 5 stars","","0","Soapstone"
"R1FMZNSU8M4N4M","lorenzo","Le cuffie di collegano solo a 2 dispotivi e non in contemporanea. Non supportano il multipoint. Se dovete usarli con un paio di telefoni ed un PC, cambiate prodotto. Passare da un device all'altro è uno strazio. Ho dovuto restituirle.L'audio è buono ma l'usabilità pessima.","Reviewed in Italy on 30 May 2023","Problemi di connettività con più di 2 dispositivi","2.0 out of 5 stars","","0","Triple Black"
"R4KM4NDM5727O","Tj","worked amazing for a year or so then started randomly flashing red and white which couldn't be fixed and bose said they can't fix them but will replace for another 200 dollars. terrible practice launching faulty product.","Reviewed in the United States on 24 May 2023","bose trash company","2.0 out of 5 stars","","0","Triple Black"
"R2ZKS30ZJN6Y8U","Samantha witzel","For a pair of earbuds that cost as much as they do you are only paying for the name on the side, nothing more. I had better noise cancellation in a pair of $40 dollar headphones. The whole master earbud thing really errks me. I have never earbuds where which one I used out of the case was a problem. As far as comfort, sure if you didn't have ear piercings. If you do stay FAR AWAY from Bose. I tried every sIze thinking one would help the noise cancellation or comfortability, it became slightly more comfortable with the largest size. Sound quality didn't improve at all.  There is no effin manual on how to use them, all it says is download the Bose app. I couldn't get it to connect to my earbuds, after trying to get the app to pair for 45 MINUTES I gave up.","Reviewed in the United States on 24 May 2023","So disappointed.....","2.0 out of 5 stars","","0","Soapstone"
"R2BEMQEWR1H2KE","Michael G. Baker","Sound quality was alright. Noise cancelling was good enough to block out airplane and lawnmower noise. Started to get really uncomfortable after three hours, which is also about as long as the battery lasted. The right ear bud just stopped working one day with about two weeks left in the 1-year warranty period. I kept forgetting to look into the return until literally two days after the warranty expired (and that's on me), but for $300 ear buds, I'd expect to not have to use the warranty. The Bose website did offer me a 30% discount for the new version with an exchange, but for that price, I'll try another brand.","Reviewed in the United States on 21 May 2023","Failed in under a year.","2.0 out of 5 stars","","0","Triple Black"
"R1VZVY3N1QLLVI","Louis","Used them for maybe 3 months then lost them is a drawer for a year found them last week and one earbud dosnt work","Reviewed in Canada on 18 May 2023","Only last about a year","2.0 out of 5 stars","","0","Triple Black"
"R23NNISO5SINYJ","Digger","Never got a chance to use them because rthe ight earbud would never charge and BOSE was less then responsive in helping me address the problem.  Unlike Apple , BOSE have no stores or troubleshooting personnel to assist you, they simply point you to the BOSE Music App - which charges $39 a month - to gain the serial number of your product in order for them to tell you ""your options"" but they do tell you earbuds cannot be repaired so I am returning the ear buds forthwith","Reviewed in the United States on 17 May 2023","Could not get Earbuds to work","2.0 out of 5 stars","","0","Triple Black"
"R3T4ITQ9WQWD5J","Mr René","Pros:Sit in the ear securelyHave a nice chime sound upon connectionConnect reliably to my iPhoneCons:The sound is mid heavy, and impossible to correct to my preference with the 3 band eq in the Bose app.You must install this app. No great shakes for me, but some will dislike this. You wont get full functionality when connecting to a Peloton - for example.The noise cancellation just isn't for me. When turned on it honestly makes me feel queasy. I'm not a fussy guy and it creates a kind of sense of displacement which is unnatural and a bit nauseating.To compound this, the 'aware' mode where it amplifies your surroundings is rubbish, it transfers alot of white noise into your audio experience, no matter the anbient environment, which makes owning an expensive set of ear phones pointless.I am a hobbyist music producer of some 20 years experience. I suggest that for discerning tastes these are not a great spread of characteristics.","Reviewed in the United Kingdom on 16 May 2023","Wanted to like them","2.0 out of 5 stars","","0","Triple Black"
"R21GO1O85M70RE","Amazon Customer","Literally just came out the case with ear wax and a long strand of hair. So that’s cool.","Reviewed in the United States on 16 May 2023","Sent dirty.","2.0 out of 5 stars","https://m.media-amazon.com/images/I/61loN2LwxZL.jpg","0","Soapstone"
"RK8EYV09LSDQ0","Elle","I wanted to love these but I could not get both earbuds to stay in. I tried all three different sizes and still was unable to keep from falling out!","Reviewed in the United States on 15 May 2023","Won’t stay out","2.0 out of 5 stars","","0","Soapstone"
"R2J8A0M8KTZ863","Reed","They stay in fine but i have trouble wearing them while laying dow or resting. And they are ok for workouts.","Reviewed in the United States on 13 May 2023","Too Bulky.","2.0 out of 5 stars","","0","Triple Black"
"RQ0O7CS3PKEDT","Jason Weaver","I paid $300 for these last summer, maybe used them for a total of 50 hours and now the right earbud will do everything but actually put out sound.  Yes it is charged.  Yes I unpaired and started over.  Tried everything I can think of to get it to work.  I see Bose just makes overpriced junk now.  Going back to Apple.","Reviewed in the United States on 12 May 2023","One earbud doesn't put out sound now","2.0 out of 5 stars","","0","Triple Black"
"R22L2LCHFAPFZQ","dongkeun lee","I received used one.Is it correct to sell used one? Because i did not noticeit is used one.","Reviewed in the United States on 7 May 2023","Used one","2.0 out of 5 stars","","0","Triple Black"
"R2VEE4V4GRQQY8","Derek Rogers","I purchased these with some hope that price would be an indication of quality. This was a mistake.These things are terribly overpriced, while the noise cancelling is fairly effective I cannot in any way point out how these are better than any other earbuds of half the price.Even the smallest set of the ear pads press painfully into the ear in several places, leaving the ears feeling sore after extended use.You'd think that dice the earbuds themselves are so bulky, you'd get a decent battery life, but they barely manage 5 hours (I've seen plenty others that can last 8 hours or more of continued use for less price and bulky) before shutting off abruptly. The sudden shutoff of the ear buds and noise cancelling feels like a light slap in the ear btwThe charging case is at least fairly sturdy and charges them quickly, but even after only a few months, it's getting spotty about registering that the earbuds are plugged inDon't waste your money on trash","Reviewed in the United States on 6 May 2023","Painful to use","2.0 out of 5 stars","","0","Triple Black"
"R22NEK9OGD7QO7","Living the Dream","Good sound but very large and too heavy for longer use. Returned for refund","Reviewed in the United Kingdom on 28 April 2023","Worked well but very large","2.0 out of 5 stars","","0","Soapstone"
"R15LGM1F7JYC6F","Jesús Salvador Barba Alvarez","Ya no funciona un auricular","Reviewed in Mexico on 28 April 2023","La verdad ante todo","2.0 out of 5 stars","","0","Soapstone"
"R1EKD7TTJPYF14","mariana Esquivel","They swap to different setting from noise cancelling to aware. I bought them to help with calls, they amplify background noise when I’m in a call not only can I hear the chatter but the person on the other end as well. Noise cancelling isn’t the best can hear everything even at a coffee shop.Touch free settings aren’t the best you can choose either to double tap to pause but then you can’t skip songs you have to choose between both.Overall sad.","Reviewed in the United States on 27 April 2023","Disappointed","2.0 out of 5 stars","","0","Triple Black"
"RU8H63N3IJDF6","Tacielly Iack","Nice NC but to bigger design","Reviewed in the United Kingdom on 26 April 2023","Too big","2.0 out of 5 stars","","0","Soapstone"
"R3197L40X0893D","Daniele Dalbosco","Non è possibile usare solo l'auricolare SX e lasciarel'altro nella custodia, si sconnette dal bluetooth. Devono essere usati assieme o solo il DX.","Reviewed in Italy on 20 April 2023","Solo il SX.. NO","2.0 out of 5 stars","","0","Triple Black"
"R3PBUI9NHPAHQ7","Amazon Customer","Noise cancellation not upto the mark like other products","Reviewed in India on 18 October 2022","Noise cancellation","3.0 out of 5 stars","","0","Triple Black"
"R1OHY9UDK8G8VW","Rajesh Butta","Lot of background noise is going at the other end during meetings and call. To the extent a normal ear plugs (one plus) is fairing better. People keep asking me to mute because of the background noise from my end even when I am in a close environment. So, these are all fake claims that call quality is good. I am returning the product. It's not meant for calls is my verdict.Most surprising is that not much people are talking about this aspect of usage.","Reviewed in India on 17 April 2022","For calls or meetings, it is a big NO","3.0 out of 5 stars","","4","Triple Black"
"R7J27H07DGASE","Rajiv d.","Dislike","Reviewed in India on 18 August 2021","Okay but the grip is not good","3.0 out of 5 stars","","0","Soapstone"
"R3C16T8CQE9CA8","Divyansh ","I bought these but returned them. Reasons being:1. Initial lag on android devices whenever playing something.2. I expected the sound quality to be phenomenal at this price point. But these are just average. Although the clarity is pretty good, but the highs are not great and the base is plain underwhelming.3. Anc is great, but it's just a bit better that what you might get with passive noise isolation with a pair of any in ear earphones.Although there are definitely some pros also:1. Found these extremely comfortable2. The anc is the best there is, but again only a little better than some plain noise isolating earphones.3. The transparency mode and call quality are pretty good.4. Battery life is adequate. Charge really fast.All in all these are not for people looking for earphones for listening to great music, but are great for office and taking calls even in a noisy environment.I bought Sennheisers momentum tw 2 instead and I find they are far superior :)","Reviewed in India on 5 April 2021","Quiet, comfortable but Underwhelming Sound","3.0 out of 5 stars","","0","Triple Black"
"R2TO9K3DIZWWMC","Kapil Tiwari","Disappointed with the product. Performance is not good , Faceing software problem unable to connect both buds at the same time. Getting delayed sound in left earbud.","Reviewed in India on 19 February 2021","Disappointing with product","3.0 out of 5 stars","","0","Triple Black"
"RZGL44Q4IGEHY","Farooq Kapadia","Good:1. Comfortable wearing2. Nice BatteryBad:1. Case is really big compared to others, if you are wearing jeans than its surely noticeable.2. Not that Loud as I was expecting.3. Sometime it becomes Difficult in pairing.4. Sound quality is normal. I think airpod pro is better than this.After using this with my iphone for sometime. I think I made a mistake buying this product. I should have gone with airpod pro. Even they have Spatial Audio feature which is best to watch movies.","Reviewed in India on 28 December 2020","Below Expectations. Will recommend to go for other options.","3.0 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/71tEgNwY3NL.jpg","0","Soapstone"
"RO4L098VTCDDS","Deendayal","One of the worst earphones I have ever used in terms of fitting. The sound is amazing, the same with the noise cancellation.I also have the soundsport free, they fit better than this.","Reviewed in India on 29 October 2020","doesn't fit, but sounds insane","3.0 out of 5 stars","","2","Triple Black"
"R1VQJ4ZIUHB3J","Sudhakarareddy","Feel some pain in ears. the sound signature is boosted for low end bass and is not pleasant for long hours or watching movies.","Reviewed in India on 18 October 2020","Not comfortable","3.0 out of 5 stars","","2","Soapstone"
"R2HMHJEEJVPGZJ","Alejandra gomez","So, I have had this product 5 months shy of year. I enjoyed them. However, they started malfunctioning. I would only wear them a few hours a week, so it wasn’t anything I was doing with them. At 90% the right earbud would completely disconnect, if you happen to be at 40% and needed to re-sync them in your Bluetooth settings forget about it, bc they won’t unless they’re fully charged. Also it does suck you can’t answer phone calls, for the price that would’ve been a big plus. Overall very annoying issues, so I messaged BOSE and they said there is a one year warranty , they replaced them when a newer model , which I’m thankful for. I’m not sure if I would buy them again if I didn’t get the replacement ones, maybe I got faulty ones ? Either way, something to consider.","Reviewed in the United States on 22 January 2024","Yearly review","3.0 out of 5 stars","","0","Soapstone"
"R11RPLB4OD4V4A","Gustavo M.","los audifonos tienen buen calidad de sonido pero el sistema de sugecion no es buena, utilice los diferentes tamanos de soporte sin exito. despues de 3 anos de estar trabajando correctamente iniciaron a genera ruidos fuertes y pareciera que la senal no es buena al igual que el nivel del sonido se redujo considerablemente. Era fiel seguidor de la marca por otros productos previos a este, pero con esto me dejo mucho que desear considerando el costo vs tiempo de vida.","Reviewed in Mexico on 11 January 2024","Calidad en durabilidad y comodidad","3.0 out of 5 stars","","0","Soapstone"
"RHPEE5OA3TI7L","Imre Dettmann","Eins vorweg, diese Kopfhörer waren das Beste, was bisher in meinen Ohren steckte. Der Sound war der Hammer, die Passform war der Hammer. Aber eben nur "" ...war"".Nach 2 Jahren und drei Monaten war dann Schluß mit lustig. Der rechte Hörer ging kaputt, schrabbelte bei gewissen Tonlagen und bei Stimmen per Telefon, was echt nervig ist.  Die Garantie war da ja schon erloschen. Bei dem Preis habe ich echt eine längere Lebensdauer erwartet. Deshalb auch nur drei Sterne.Sehr schade Bose.","Reviewed in Germany on 8 January 2024","Kurze Lebensdauer","3.0 out of 5 stars","","0","Soapstone"
"R2YOJJKC661GSQ","Client d'Amazon","was a gift from my husband.  I wasn't that satisfied for the price.  ended up with another brand for under 70$.","Reviewed in Canada on 14 December 2023","too expensive","3.0 out of 5 stars","","0","Soapstone"
"R2BOJW9ZY4F6Z0","Harry","The Bose QuietComfort® Earbuds undoubtedly live up to the brand's reputation for exceptional sound quality and industry-leading noise cancellation. However, despite their impressive features, the sizing of these fully wireless Bluetooth earbuds leaves something to be desired. Here's a detailed review:Superior Noise Cancellation: ⭐⭐⭐⭐⭐Bose has mastered the art of noise cancellation, and the QuietComfort® Earbuds are a testament to this expertise. The noise cancellation is highly effective, creating a serene audio environment even in bustling surroundings. The ability to immerse oneself in music or calls without external disruptions is a standout feature.Impeccable Sound Quality: ⭐⭐⭐⭐⭐The sound quality is exceptional, delivering rich, clear, and immersive audio. Whether enjoying music, podcasts, or making calls, the Bose QuietComfort® Earbuds provide an unparalleled audio experience that lives up to the brand's high standards.Fully Wireless Convenience: ⭐⭐⭐⭐⭐The convenience of fully wireless earbuds cannot be overstated. The absence of tangled wires enhances the overall user experience, offering freedom of movement without compromising audio quality. The Bluetooth connectivity is reliable and seamless.Voice Control Integration: ⭐⭐⭐⭐⭐The inclusion of voice control adds a layer of convenience to the user experience. With voice-activated features, it's easy to manage calls, adjust volume, or access virtual assistants without reaching for the device. This hands-free capability is a thoughtful addition.Sizing Concerns: ⭐⭐ (2/5)Unfortunately, the Bose QuietComfort® Earbuds fall short in the sizing department. The earbuds are notably larger than other options in the market, making them uncomfortable for extended use. The fit may not be ideal for individuals with smaller ears, leading to concerns about stability during activities such as running or working out.Comfort and Ergonomics: ⭐⭐⭐ (3/5)While the overall build quality is commendable, the comfort level is compromised for users with smaller ears. The earbuds may feel bulky and less secure, impacting the extended wear comfort. Bose could improve the design to cater to a wider range of ear sizes.Overall Verdict: ⭐⭐⭐ (3/5)In conclusion, the Bose QuietComfort® Earbuds offer superior noise cancellation, impeccable sound quality, and convenient features like voice control. However, the sizing concerns, particularly for users with smaller ears, are a significant drawback. The earbuds' comfort and ergonomics could be improved to ensure a better fit for a diverse range of users. Despite the exceptional audio experience, the sizing limitations warrant a 3/5 rating. If Bose addresses the sizing issue in future iterations, these earbuds could easily achieve a higher rating for an all-encompassing premium audio experience.","Reviewed in the United Kingdom on 14 December 2023","Bose QuietComfort® Earbuds - Superior Noise Cancellation, but Sizing Falls Short","3.0 out of 5 stars","","0","Triple Black"
"R1PS99Y7GVC6NG","M","Es gibt ja nun ein ganzes Meer von Kopfhörern, aber ich habe mich für Bose entschieden, da ich hier bisher noch nie von der Qualität und Langlebigkeit enttäuscht wurde, da bezahle ich auch gern etwas mehr. Ich bin allerdings nicht vollkommen zufrieden. Eines vorweg: das Einzige, was ich absolut großartig finde, ist die Soundqualität, also das wichtigste funktioniert sehr gut!Ich habe zusätzlich die großen Bose QC35 Kopfhörer (2017), aber gerade für den Sommer wollte ich etwas anderes, wo einem nicht so heiß drunter wird. Ich ziehe diese Kopfhörer nun als Vergleich hinzu.Was die Soundqualität angeht, so stehen die kleinen Stöpsel den großen Kopfhörern in nichts, nach, das hat mich sehr überrascht!Doch was ist nicht so toll? Zum einen die App. Als ich sie installierte (3x, weil sich die Verbindung einfach nicht aufbauen wollte) waren im Menü die Möglichkeiten aufgelistet, was man tolles damit anstellen kann (z.B. was passiert, wenn ich tippe, wische, etc.) Also ich persönlich kann es nicht ausstehen, irgendetwas mit der App zu bedienen, daher bin ich sehr froh, dass man darauf auch verzichten kann! Was am Anfang funktioniert hat, war die Abstufung des Noise Cancelling (per App), doch aus irgendeinem Grund, den ich als absoluter Technik-Depp einfach noch nicht erkennen konnte, wird dies nun nicht mehr angezeigt. Das bedeutet, es gibt nur ganz oder gar nicht. Das Ganz ist aber um einiges Besser, als beim CQ35, hier hat man doch den Vorteil, dass etwas direkt im Ohr steckt und der Außenwelt Lebewohl sagen kann. Sehr schön :)Die Bluetooth-Verbindung baut sich brav auf, sobald man die Stöpsel im Ohr hat. Manchmal hackelt die Verbindung allerdings, das könnte aber auch am Handy liegen. Mit meinen großen Kopfhörern habe ich dieses Problem allerdings nicht.Was die Passform angeht, so passt der eine Stöpsel sehr gut, der andere fällt mir fast aus dem Ohr raus. ich habe alle mitgelieferten Größen durchprobiert, ist nichts zu machen... Zum Rennen finde ich sie daher nicht geeignet.Ich würde es nach den 3-4 Monaten Benutzung als Hassliebe bezeichnen.","Reviewed in Germany on 8 December 2023","Ich wollte mich nicht aufregen, das hat so halb geklappt...","3.0 out of 5 stars","","0","Triple Black"
"RP5JN2BJ84BJ7","Liam","They finally quit on me: the left earbud has gone after 3 years. RIP o7These earbuds were good for their time, however the case is bulky and round, and never really fits well in any pocket or bag. The battery life is also a little lackluster: won't take you through a plane trip of continuous listening, though if you charge them in the case they last at least most of the day.I would very much recommend looking for newer models with a flatter case, better battery, and possibly better noise cancelling and sound though those were always the strongpoint of this product.I'll be attempting to get some sort of at least partial refund since 3y is not really an acceptable service life for a product at this price range, however if I don't get one I can't be too upset with the value I got.","Reviewed in Canada on 7 December 2023","Broke after 3 years of use, decent but outdated","3.0 out of 5 stars","","0","Triple Black"
"R3RU5EEERU646F","Carrie Carmichael","The sound quality and noise cancellation are on par with the Bose reputation.Works great with the cell phone.The app is quite poor.Battery life? I bought these in Aug 2022. Intermittent use (i.e., not every day but certainly a 2-6 hours per week), and as of Nov 2023 I get ""battery low"" as soon as I take them out of the case. Given the price as well as brand, I'd call that very poor performance re battery life.","Reviewed in the United States on 28 November 2023","Great Sound, Great Noise Cancellation, Battery Life Not So Much","3.0 out of 5 stars","","0","Soapstone"
"RCI3ATKE52A","Real reviewer","Amazing sound for music but worthless on calls unless you are in a quiet room. If you are walking or doing random things around the house, the person on the call will hear everything.","Reviewed in the United States on 24 November 2023","Great Sound but…Terrible on calls","3.0 out of 5 stars","","0","Triple Black"
"RYRA7LZQ39RN7","Naomi","Didn’t come with different sized ear pieces so they just fall out.  Also they don’t completely block noise, which was my goal.","Reviewed in the United States on 10 November 2023","Not cleaned.","3.0 out of 5 stars","","0","Triple Black"
"R29I0CA2FN61K4","PT","I bought it in late 2020 and loved the product. They are bit bigger than what one thinks and I had problem with one speaker first and now I have problem with the complete device including charging Box. One expects better from Bose when someone over 200Euro pays !!","Reviewed in Germany on 8 November 2023","Sound Quality BEST but product quality Okay","3.0 out of 5 stars","","0","Triple Black"
"R15X3YFV0SOOG1","Jo","I really liked these headphones until my left ear bud stopped charging about a year after I bought them. I believe it may be an issue with the case. BOSE customer service has been disappointing in troubleshooting and repair options (only suggests buying new ones). For $250 and from a reputable brand, I would have expected better on the longevity and service fronts.Otherwise, the noise cancellation and sound are great. They also stay in and don’t budge, so they are great for the gym.I have heard that the quality of the microphone during calls is unpleasant, so I would not recommend them if you want to use them to make calls.","Reviewed in Canada on 5 November 2023","Great Until One Earbud Stopped Charging","3.0 out of 5 stars","","0","Soapstone"
